00:21:59.749  [TestNG-test-Test-1] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/_rels/workbook.xml.rels
00:21:59.770  [TestNG-test-Test-1] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /_rels/.rels
00:21:59.812  [TestNG-test-Test-1] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/_rels/workbook.xml.rels
00:21:59.814  [TestNG-test-Test-1] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /_rels/.rels
00:21:59.854  [TestNG-test-Test-1] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/_rels/workbook.xml.rels
00:21:59.890  [TestNG-test-Test-1] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /_rels/.rels
00:22:00.185  [TestNG-test-Test-3] INFO  api.tests.UserTests2 - Response body: {"code":1,"type":"error","message":"User not found"}
00:22:00.185  [TestNG-test-Test-2] INFO  api.tests.UserTests - Response body: {"code":1,"type":"error","message":"User not found"}
00:22:00.186  [TestNG-test-Test-3] ERROR api.tests.UserTests2 - Unexpected exception occurred: JSONObject["id"] not found.
00:22:00.186  [TestNG-test-Test-2] ERROR api.tests.UserTests - Unexpected exception occurred: JSONObject["id"] not found.
00:22:00.187  [TestNG-test-Test-3] INFO  api.tests.UserTests2 - ***** Finished test_getUserByName *****
00:22:00.187  [TestNG-test-Test-2] INFO  api.tests.UserTests - ***** Finished test_getUserByName *****
00:22:00.201  [TestNG-test-Test-3] INFO  api.tests.UserTests2 - ***** Starting test_getUserByName *****
00:22:00.201  [TestNG-test-Test-2] INFO  api.tests.UserTests - ***** Starting test_getUserByName *****
00:22:01.512  [TestNG-test-Test-2] INFO  api.tests.UserTests - Response body: {"id":84631035,"username":"minta.torp","firstName":"Porsche","lastName":"Hegmann","email":"della.bahringer@example.com","password":"j4rzdenz7g","phone":"(443) 733-4970","userStatus":0}
00:22:01.512  [TestNG-test-Test-3] INFO  api.tests.UserTests2 - Response body: {"id":1179789759,"username":"ozie.olson","firstName":"Tinisha","lastName":"Runte","email":"sherika.cummings@example.com","password":"89xevir4j545n4z","phone":"425.498.1789","userStatus":0}
00:22:01.695  [TestNG-test-Test-3] INFO  api.tests.UserTests2 - ***** Finished test_getUserByName *****
00:22:01.696  [TestNG-test-Test-2] INFO  api.tests.UserTests - ***** Finished test_getUserByName *****
00:22:01.699  [TestNG-test-Test-3] INFO  api.tests.UserTests2 - ********************************************
00:22:01.699  [TestNG-test-Test-3] INFO  api.tests.UserTests2 - ***** Starting test_updateUser *****
00:22:01.702  [TestNG-test-Test-2] INFO  api.tests.UserTests - ********************************************
00:22:01.703  [TestNG-test-Test-2] INFO  api.tests.UserTests - ***** Starting test_updateUser *****
00:22:03.467  [TestNG-test-Test-3] INFO  api.tests.UserTests2 - ***** Finished test_updateUser *****
00:22:03.467  [TestNG-test-Test-2] INFO  api.tests.UserTests - ***** Finished test_updateUser *****
00:22:03.468  [TestNG-test-Test-3] INFO  api.tests.UserTests2 - ********************************************
00:22:03.468  [TestNG-test-Test-2] INFO  api.tests.UserTests - ********************************************
00:22:04.921  [TestNG-test-Test-3] INFO  api.tests.UserTests2 - ********************************************
00:22:04.921  [TestNG-test-Test-3] INFO  api.tests.UserTests2 - ********* Starting test_loginUser **********
00:22:05.624  [TestNG-test-Test-2] INFO  api.tests.UserTests - ********************************************
00:22:05.624  [TestNG-test-Test-2] INFO  api.tests.UserTests - ********* Starting test_loginUser **********
00:22:06.596  [TestNG-test-Test-3] INFO  api.tests.UserTests2 - Asserting that the response matches the JSON schema from C:\Users\hp\eclipse-workspace\PetStoreAutomation\test-data\getUserLoginSchema.json
00:22:06.605  [TestNG-test-Test-3] INFO  api.tests.UserTests2 - ***** Finished test_loginUser***************
00:22:06.606  [TestNG-test-Test-3] INFO  api.tests.UserTests2 - ********************************************
00:22:06.609  [TestNG-test-Test-3] INFO  api.tests.UserTests2 - ********************************************
00:22:06.610  [TestNG-test-Test-3] INFO  api.tests.UserTests2 - ******** Starting test_logoutUser***********
00:22:07.155  [TestNG-test-Test-2] INFO  api.tests.UserTests - Asserting that the response matches the JSON schema from C:\Users\hp\eclipse-workspace\PetStoreAutomation\test-data\getUserLoginSchema.json
00:22:07.169  [TestNG-test-Test-2] INFO  api.tests.UserTests - ***** Finished test_loginUser***************
00:22:07.169  [TestNG-test-Test-2] INFO  api.tests.UserTests - ********************************************
00:22:07.174  [TestNG-test-Test-2] INFO  api.tests.UserTests - ********************************************
00:22:07.174  [TestNG-test-Test-2] INFO  api.tests.UserTests - ******** Starting test_logoutUser***********
00:22:07.969  [TestNG-test-Test-3] INFO  api.tests.UserTests2 - ***** Finished test_logoutUser *****
00:22:07.969  [TestNG-test-Test-3] INFO  api.tests.UserTests2 - ************************************
00:22:08.526  [TestNG-test-Test-2] INFO  api.tests.UserTests - ***** Finished test_logoutUser *****
00:22:08.526  [TestNG-test-Test-2] INFO  api.tests.UserTests - ************************************
